,city,lat,lng,temp,humidity,wind,cloudiness,country,date
261,kirs,59.3388,52.2447,42.33,89,6.96,100,RU,Thu Apr 22 20:38:21 2021
262,konongo,6.6167,-1.2167,73.56,97,2.3,38,GH,Thu Apr 22 20:38:23 2021
263,aasiaat,68.7098,-52.8699,13.41,91,7.99,56,GL,Thu Apr 22 20:38:24 2021
264,pacific grove,36.6177,-121.9166,51.01,88,9.08,78,US,Thu Apr 22 20:38:24 2021
265,sosnovka,56.255,51.2842,41.63,86,7.67,99,RU,Thu Apr 22 20:38:25 2021
266,nichinan,31.6,131.3667,69.8,68,19.57,75,JP,Thu Apr 22 20:38:26 2021
267,hasaki,35.7333,140.8333,66.0,39,13.8,20,JP,Thu Apr 22 20:38:26 2021
268,lompoc,34.6391,-120.4579,51.8,82,6.91,19,US,Thu Apr 22 20:38:27 2021
269,saint-joseph,-21.3667,55.6167,77.0,78,11.5,90,RE,Thu Apr 22 20:38:27 2021
270,bogale,16.2833,95.4,94.77,38,8.84,56,MM,Thu Apr 22 20:38:28 2021
271,jaisalmer,26.9147,70.9181,85.28,41,9.44,0,IN,Thu Apr 22 20:38:29 2021
272,havoysund,70.9963,24.6622,33.8,75,9.22,40,NO,Thu Apr 22 20:38:30 2021
273,kuala terengganu,5.3302,103.1408,87.8,66,4.61,20,MY,Thu Apr 22 20:38:31 2021
